unproc_x,unproc_y,unproc_z,lowpass_filtered_x,lowpass_filtered_y,lowpass_filtered_z,proc_x,proc_y,proc_z,model_output_0,model_output_1,model_output_2,model_output_3,output_class,contains_output
-9.260641098022461,-0.39240002632141113,1.726560115814209,-9.679443359375,-0.49224400520324707,1.8983047008514404,-0.4026297628879547,0.04676372930407524,0.38252583146095276,0.0,0.0,0.0,0.0,0,0
-9.270450592041016,-0.5689800381660461,1.7559901475906372,-9.67785358428955,-0.4933280348777771,1.8949097394943237,-0.42691752314567566,0.26059940457344055,0.22942104935646057,0.0,0.0,0.0,0.0,0,0
-9.221400260925293,-0.5886000394821167,1.8050401210784912,-9.676277160644531,-0.4943973124027252,1.8914860486984253,-0.2978915870189667,0.2606659233570099,0.012591768056154251,0.0,0.0,0.0,0.0,0,0
-8.848620414733887,-0.19620001316070557,1.9129501581192017,-9.674715995788574,-0.49545159935951233,1.8880341053009033,-0.23052369058132172,0.1117657721042633,-0.05523517355322838,0.0,0.0,0.0,0.0,0,0
-8.672040939331055,0.15696001052856445,1.8737101554870605,-9.67317008972168,-0.4964907169342041,1.884554386138916,-0.1825180947780609,-0.0979788675904274,-0.1106003075838089,0.0,0.0,0.0,0.0,0,0
-8.554320335388184,0.4512600302696228,1.8737101554870605,-9.671639442443848,-0.4975144565105438,1.8810473680496216,-0.18763943016529083,-0.538602888584137,-0.14054164290428162,0.0,0.0,0.0,0.0,0,0
-8.407170295715332,0.6867000460624695,1.8835201263427734,-9.670125007629395,-0.4985226094722748,1.8775136470794678,-0.20679518580436707,-0.7098388671875,-0.06637212634086609,0.0,0.0,0.0,0.0,0,0
-8.093250274658203,0.8730900287628174,1.8933300971984863,-9.668624877929688,-0.4995150566101074,1.8739537000656128,-0.1781892627477646,-0.8162398338317871,-0.04910220578312874,0.0,0.0,0.0,0.0,0,0
-7.867620468139648,0.8730900287628174,1.9031400680541992,-9.667140007019043,-0.5004916191101074,1.8703681230545044,-0.09777432680130005,-0.8590801954269409,-0.0580417662858963,0.0,0.0,0.0,0.0,0,0
-7.651800632476807,0.8927100896835327,1.9227601289749146,-9.665671348571777,-0.5014520883560181,1.8667573928833008,-0.09368950873613358,-0.8258693218231201,-0.10675909370183945,0.0,0.0,0.0,0.0,0,0
-7.288830280303955,0.8338500261306763,1.7363700866699219,-9.664219856262207,-0.5023963451385498,1.8631219863891602,-0.05118474364280701,-0.7607260942459106,-0.15616288781166077,0.0,0.0,0.0,0.0,0,0
-7.210350513458252,0.70632004737854,1.5303601026535034,-9.662784576416016,-0.5033242702484131,1.8594623804092407,-0.03337717056274414,-0.7355939745903015,-0.2227504402399063,0.0,0.0,0.0,0.0,0,0
-7.229970455169678,0.5003100633621216,1.3047300577163696,-9.66136646270752,-0.5042356848716736,1.8557791709899902,-0.032000456005334854,-0.685985267162323,-0.21085776388645172,0.0,0.0,0.0,0.0,0,0
-7.367310523986816,0.25506001710891724,0.9810000658035278,-9.659965515136719,-0.5051303505897522,1.852073073387146,-0.07577520608901978,-0.6805614829063416,-0.1602269411087036,0.0,0.0,0.0,0.0,0,0
-7.926480293273926,-0.2746800184249878,0.9025200605392456,-9.658580780029297,-0.5060082077980042,1.8483446836471558,-0.09187506139278412,-0.684049665927887,-0.09490925073623657,0.0,0.0,0.0,0.0,0,0
-8.309070587158203,-0.5199300050735474,0.8142300844192505,-9.657214164733887,-0.5068690776824951,1.8445944786071777,-0.07615578919649124,-0.6234105229377747,0.10047344118356705,0.0,0.0,0.0,0.0,0,0
-8.603370666503906,-0.70632004737854,0.7749900817871094,-9.655865669250488,-0.5077129006385803,1.8408231735229492,-0.08499133586883545,-0.5873527526855469,0.1696939319372177,0.0,0.0,0.0,0.0,0,0
-8.652420997619629,-0.8927100896835327,0.6376500129699707,-9.654535293579102,-0.508539617061615,1.837031364440918,-0.05953880399465561,-0.5479701161384583,0.21556119620800018,0.0,0.0,0.0,0.0,0,0
-8.524890899658203,-0.9025200605392456,0.6474600434303284,-9.653223037719727,-0.5093490481376648,1.8332197666168213,-0.020256031304597855,-0.5166529417037964,0.24350063502788544,0.0,0.0,0.0,0.0,0,0
-8.3385009765625,-0.8632800579071045,0.7357500791549683,-9.651928901672363,-0.5101410746574402,1.8293890953063965,-0.06841404736042023,-0.3603670597076416,0.22312316298484802,0.0,0.0,0.0,0.0,0,0
-8.15211009979248,-0.6867000460624695,0.882900059223175,-9.650653839111328,-0.5109155178070068,1.8255399465560913,-0.08581260591745377,-0.2918042838573456,0.22294527292251587,0.0,0.0,0.0,0.0,0,0
-7.9657206535339355,-0.09810000658035278,0.9025200605392456,-9.649396896362305,-0.51167231798172,1.8216729164123535,-0.10564490407705307,-0.2141016274690628,0.23294104635715485,0.0,0.0,0.0,0.0,0,0
-8.15211009979248,0.21582001447677612,0.9123300313949585,-9.648158073425293,-0.5124114155769348,1.8177887201309204,-0.08466404676437378,-0.11359197646379471,0.23199817538261414,0.0,0.0,0.0,0.0,0,0
-8.524890899658203,0.4610700309276581,0.9123300313949585,-9.64693832397461,-0.5131325721740723,1.8138879537582397,-0.05400317162275314,-0.10963688045740128,0.20669029653072357,0.9363699555397034,0.006863730493932962,0.007125751581043005,0.04964052513241768,0,1
-9.515700340270996,0.35316002368927,0.8240400552749634,-9.645737648010254,-0.5138357281684875,1.8099713325500488,-0.0185979213565588,-0.12401257455348969,0.16109336912631989,0.0,0.0,0.0,0.0,0,0
-9.937530517578125,-0.09810000658035278,0.7259400486946106,-9.644556999206543,-0.5145208239555359,1.8060396909713745,0.012523286044597626,-0.16700533032417297,0.09288107603788376,0.0,0.0,0.0,0.0,0,0
-10.516321182250977,-1.1968200206756592,0.16677001118659973,-9.64339542388916,-0.5151877999305725,1.802093744277954,0.04163799062371254,-0.28492027521133423,-0.05046659708023071,0.0,0.0,0.0,0.0,0,0
-10.584990501403809,-1.6578900814056396,-0.009810000658035278,-9.642252922058105,-0.5158365368843079,1.7981345653533936,0.049306292086839676,-0.35036501288414,-0.09443758428096771,0.0,0.0,0.0,0.0,0,0
-10.477080345153809,-1.9423801898956299,-0.2256300151348114,-9.641129493713379,-0.5164669752120972,1.7941628694534302,0.05767246335744858,-0.3884570598602295,-0.096540667116642,0.0,0.0,0.0,0.0,0,0
-10.251450538635254,-1.461690068244934,-0.7161300182342529,-9.64002513885498,-0.5170790553092957,1.7901792526245117,0.09164734184741974,-0.4190669655799866,-0.023545045405626297,0.0,0.0,0.0,0.0,0,0
-10.143540382385254,-0.5493600368499756,-0.9123300313949585,-9.63893985748291,-0.5176727175712585,1.7861844301223755,0.11829767376184464,-0.429421067237854,0.029424075037240982,0.0,0.0,0.0,0.0,0,0
-10.781190872192383,0.14715000987052917,-0.8436600565910339,-9.637873649597168,-0.5182478427886963,1.7821794748306274,0.111572265625,-0.4100521504878998,0.03828440606594086,0.0,0.0,0.0,0.0,0,0
-11.840670585632324,0.21582001447677612,-0.15696001052856445,-9.63682746887207,-0.5188043117523193,1.7781649827957153,0.10629084706306458,-0.39726874232292175,-0.012927775271236897,0.0,0.0,0.0,0.0,0,0
-14.204880714416504,-1.628460168838501,2.5800302028656006,-9.635801315307617,-0.5193421244621277,1.774141550064087,0.11736644059419632,-0.39448559284210205,-0.04182096943259239,0.0,0.0,0.0,0.0,0,0
-14.420701026916504,-2.8056602478027344,3.335400104522705,-9.634794235229492,-0.5198611617088318,1.7701101303100586,0.10789214074611664,-0.3732062578201294,-0.0732051357626915,0.0,0.0,0.0,0.0,0,0
-13.940011024475098,-3.4040701389312744,3.462930202484131,-9.633807182312012,-0.5203614234924316,1.7660716772079468,0.09318206459283829,-0.3538171648979187,-0.07565603405237198,0.0,0.0,0.0,0.0,0,0
-13.34160041809082,-4.13001012802124,4.286970138549805,-9.63283920288086,-0.5208429098129272,1.7620269060134888,0.08871850371360779,-0.34370583295822144,-0.07683523744344711,0.0,0.0,0.0,0.0,0,0
-11.75238037109375,-4.022100448608398,5.36607027053833,-9.631892204284668,-0.521305501461029,1.7579765319824219,0.0921558141708374,-0.3337183892726898,-0.06659571826457977,0.0,0.0,0.0,0.0,0,0
-10.634040832519531,-2.854710102081299,6.219540596008301,-9.630965232849121,-0.5217491388320923,1.753921389579773,0.07866261899471283,-0.33394771814346313,-0.07000933587551117,0.0,0.0,0.0,0.0,0,0
-9.46665096282959,-1.0300500392913818,6.660990238189697,-9.630058288574219,-0.5221738219261169,1.7498624324798584,0.0640675276517868,-0.3446003794670105,-0.06427765637636185,0.0,0.0,0.0,0.0,0,0
-8.613180160522461,2.9037601947784424,6.356880187988281,-9.629171371459961,-0.522579550743103,1.7458003759384155,0.04092136770486832,-0.34539705514907837,-0.06938004493713379,0.0,0.0,0.0,0.0,0,0
-8.838810920715332,4.944240570068359,5.169870376586914,-9.628304481506348,-0.5229661464691162,1.7417360544204712,0.011385122314095497,-0.328542023897171,-0.04447998106479645,0.0,0.0,0.0,0.0,0,0
-9.535320281982422,6.405930519104004,3.855330228805542,-9.627457618713379,-0.5233335494995117,1.7376704216003418,-0.04287993535399437,-0.2547297179698944,-0.010231864638626575,0.0,0.0,0.0,0.0,0,0
-10.437840461730957,5.483790397644043,2.629080295562744,-9.626631736755371,-0.5236818194389343,1.7336043119430542,-0.05095389857888222,-0.2160717397928238,6.860122084617615e-06,0.0,0.0,0.0,0.0,0,0
-12.772621154785156,3.24711012840271,2.5898401737213135,-9.625826835632324,-0.5240110158920288,1.7295385599136353,-0.06634267419576645,-0.1871093064546585,-0.001625746488571167,0.0,0.0,0.0,0.0,0,0
-13.282740592956543,1.020240068435669,2.3838300704956055,-9.625043869018555,-0.5243210792541504,1.7254739999771118,-0.07423040270805359,-0.17844834923744202,0.016738295555114746,0.0,0.0,0.0,0.0,0,0
-13.292551040649414,-0.9221400618553162,2.020860195159912,-9.624281883239746,-0.5246118903160095,1.7214114665985107,-0.08373197913169861,-0.1873784214258194,-0.006218221969902515,0.0,0.0,0.0,0.0,0,0
-12.262500762939453,-3.737610340118408,1.8540900945663452,-9.623541831970215,-0.5248833894729614,1.7173517942428589,-0.0836077332496643,-0.19580300152301788,-0.02742505632340908,0.9826658964157104,0.004057989455759525,0.0032136563677340746,0.010062401182949543,0,1
-11.458080291748047,-4.365450382232666,2.11896014213562,-9.622822761535645,-0.5251356959342957,1.713295578956604,-0.0975646823644638,-0.21643105149269104,-0.021922877058386803,0.0,0.0,0.0,0.0,0,0
-10.565370559692383,-3.24711012840271,1.8050401210784912,-9.622124671936035,-0.525368869304657,1.7092437744140625,-0.06852537393569946,-0.22331589460372925,-0.037943433970212936,0.0,0.0,0.0,0.0,0,0
-10.114110946655273,-2.2661101818084717,1.6971300840377808,-9.621447563171387,-0.5255828499794006,1.7051970958709717,-0.05207163095474243,-0.2118217945098877,-0.044975802302360535,0.0,0.0,0.0,0.0,0,0
-9.653040885925293,-1.4518800973892212,1.6382701396942139,-9.620790481567383,-0.5257775783538818,1.7011566162109375,-0.04401194676756859,-0.22042527794837952,-0.05476190894842148,0.0,0.0,0.0,0.0,0,0
-8.407170295715332,-0.3727800250053406,1.76580011844635,-9.62015438079834,-0.5259530544281006,1.6971231698989868,-0.01666191779077053,-0.2279936969280243,-0.06112854182720184,0.0,0.0,0.0,0.0,0,0
-7.759710311889648,-0.07848000526428223,1.8344701528549194,-9.619539260864258,-0.5261093378067017,1.693097472190857,-0.057063162326812744,-0.20931977033615112,-0.08744654804468155,0.0,0.0,0.0,0.0,0,0
-7.3575005531311035,-0.009810000658035278,1.9227601289749146,-9.618945121765137,-0.5262463688850403,1.6890804767608643,-0.09666527807712555,-0.1665603369474411,-0.012257955968379974,0.0,0.0,0.0,0.0,0,0
-7.151490688323975,-0.15696001052856445,2.0012402534484863,-9.618372917175293,-0.5263642072677612,1.685072898864746,-0.09720762073993683,-0.16536885499954224,-0.032763443887233734,0.0,0.0,0.0,0.0,0,0
-7.259400367736816,-0.6965100765228271,2.020860195159912,-9.61782169342041,-0.526462972164154,1.6810755729675293,-0.0855996385216713,-0.20277182757854462,-0.05367305874824524,0.0,0.0,0.0,0.0,0,0
-7.426170349121094,-0.9515700340270996,1.8933300971984863,-9.617292404174805,-0.5265427231788635,1.6770893335342407,-0.09785085916519165,-0.22295454144477844,-0.05757702887058258,0.0,0.0,0.0,0.0,0,0
-7.5537004470825195,-1.1477700471878052,1.775610089302063,-9.61678409576416,-0.5266034007072449,1.6731151342391968,-0.1082780733704567,-0.225586399435997,-0.020109903067350388,0.0,0.0,0.0,0.0,0,0
-7.4457902908325195,-1.3930201530456543,1.5009300708770752,-9.61629581451416,-0.5266451239585876,1.6691539287567139,-0.09608109295368195,-0.22592534124851227,0.0014343764632940292,0.0,0.0,0.0,0.0,0,0
-7.200540542602539,-1.5009300708770752,1.3832100629806519,-9.615829467773438,-0.5266678929328918,1.6652063131332397,-0.0713869109749794,-0.21149133145809174,-0.053695451468229294,0.0,0.0,0.0,0.0,0,0
-6.935670375823975,-1.5990301370620728,1.314540147781372,-9.615384101867676,-0.5266717076301575,1.6612732410430908,-0.03443140164017677,-0.18552033603191376,-0.1259314864873886,0.0,0.0,0.0,0.0,0,0
